1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
30075,20918,14690,10229,7203,5055,3622,2429,1760,1160,867,615,389,307,187,161,86,72,46,44,26,18,10,8,5,1,6,1,1,1,2,4,1,1
69925,49007,34317,24088,16885,11830,8208,5779,4019,2859,1992,1377,988,681,494,333,247,175,129,85,59,41,31,23,18,17,11,10,9,8,6,2,1,0
